disease_id,disease
DIS_0992,Illness anxiety disorder
DIS_0993,Immune thrombocytopenia (ITP)
DIS_0994,Impacted wisdom teeth
DIS_0995,Infertility
DIS_0997,Kidney stones
DIS_0998,Kyphosis
DIS_0999,Lewy body dementia
DIS_1000,Lichen sclerosus
DIS_1001,Liver cancer
DIS_1002,Liver disease
DIS_1003,Low sperm count
DIS_1004,Lymphedema
DIS_1005,Lymphoma
DIS_1006,Male infertility
DIS_1007,Marfan syndrome
DIS_1008,Medulloblastoma
DIS_1009,Melanoma
DIS_1010,Metastatic castration-resistant prostate cancer (mCRPC)
DIS_1011,Migraine
DIS_1012,Molar pregnancy
DIS_1013,Morning sickness
DIS_1014,Morton neuroma
DIS_1015,Mouth cancer
DIS_1016,Moyamoya disease
DIS_1017,"Multiple endocrine neoplasia, type 2 (MEN 2)"
DIS_1018,Multiple sclerosis
DIS_1019,Myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD)
DIS_1020,Myelodysplastic syndromes
DIS_1021,Occupational asthma
DIS_1022,Ovarian cancer
DIS_1023,POEMS syndrome
DIS_1024,Patellofemoral pain syndrome
DIS_1025,Phenylketonuria (PKU)
DIS_1026,Pheochromocytoma
DIS_1027,Pink eye (conjunctivitis)
DIS_1028,Plantar fasciitis
DIS_1029,Pneumothorax
DIS_1030,Polycystic ovary syndrome (PCOS)
DIS_1031,Polyhydramnios
DIS_1032,Postpartum depression
DIS_1033,Primary biliary cholangitis
DIS_1034,Primary progressive aphasia
DIS_1035,Primary sclerosing cholangitis (PSC)
DIS_1036,Prostate cancer recurrence
DIS_1037,Psoriasis
DIS_1038,Radiation enteritis
DIS_1039,Raynaud's disease
DIS_1040,Restless legs syndrome
DIS_1041,Rosacea
DIS_1042,Sacral dimple
DIS_1044,Scrotal masses
DIS_1045,Sexually transmitted diseases (STDs)
DIS_1046,Sjogren's syndrome
DIS_1047,Smallpox
DIS_1048,Spinal cord injury
DIS_1049,Sprains
DIS_1050,Stroke
DIS_1051,Sun allergy
DIS_1052,Testicular cancer
DIS_1053,Thrombocytopenia (low platelet count)
DIS_1054,Thyroid cancer
DIS_1055,Traveler's diarrhea
DIS_1056,Trigeminal neuralgia
DIS_1057,Uterine fibroids
DIS_1058,Vaginal cancer
DIS_1059,Varicose veins
DIS_1060,Vocal cord paralysis
DIS_1061,Vulvodynia
DIS_1062,Wrist pain
